26,51,76,101,126,151,176
Alipay.com,Yandex.ru,Rakuten.co.jp,Gome.com.cn,Soundcloud.com,Speedtest.net,Cnet.com
2:56,6:19,9:21,2:16,3:45,3:29,2:04
3.18,3.86,9.68,3.92,3.47,2,2.9
1.40%,2.80%,27.60%,0.80%,15.70%,34.40%,44.40%
"3,513","93,804","37,563","1,200","42,308","8,887","45,199"
27,52,77,102,127,152,177
Zhanqi.tv,Tribunnews.com,Babytree.com,Bilibili.com,Rednet.cn,Ilovepdf.com,Disneyplus.com
2:50,3:31,2:33,9:26,2:15,5:52,3:41
5.37,1.86,5.03,8.18,3.92,3.82,4.22
0.80%,60.00%,0.90%,6.20%,1.00%,55.40%,20.60%
334,"24,091",770,"2,197","2,537",473,204
28,53,78,103,128,153,178
Csdn.net,Linkedin.com,Google.de,6.cn,Google.cn,Avito.ru,Bet9ja.com
3:25,10:30,3:16,2:16,7:03,16:29,9:45
4.92,8.44,3.78,3.63,5.57,10.2,3.58
7.80%,14.00%,4.30%,0.90%,6.90%,13.00%,6.10%
"6,438","608,654","25,770","1,509","10,512","1,962","24,109"
29,54,79,104,129,154,179
Office.com,17ok.com,Tradingview.com,Udemy.com,Stackexchange.com,Washingtonpost.com,Hdfcbank.com
10:22,2:14,6:01,10:39,2:20,3:14,6:02
9.94,3.96,3.34,7.74,2.34,2.83,3.91
7.20%,0.70%,12.70%,16.70%,63.00%,27.50%,25.20%
"5,767",368,602,"2,037","10,544","70,439","1,315"
30,55,80,105,130,155,180
Myshopify.com,Mail.ru,Github.com,Zillow.com,Okta.com,Tistory.com,Setn.com
22:05,3:33,6:35,7:32,1:12,6:34,3:06
13.94,2.77,6.42,8.24,3.77,4.26,1.36
3.10%,4.30%,28.00%,32.70%,3.00%,23.10%,22.80%
118,"91,484","40,565","9,152",255,"10,601","6,025"
31,56,81,106,131,156,181
Yahoo.co.jp,Google.co.in,Indeed.com,Zhihu.com,Slack.com,Craigslist.org,Google.com.mx
9:56,6:16,6:32,5:53,15:10,8:07,5:30
8.97,7.34,4.89,4.45,7.61,8.39,7.92
14.00%,9.10%,26.90%,14.60%,5.20%,20.90%,10.30%
"57,560","17,539","7,630","3,103","1,374","14,958","8,762"
32,57,82,107,132,157,182
Google.com.hk,Msn.com,Imgur.com,Amazon.de,Wetransfer.com,Vimeo.com,51sole.com
3:47,3:20,2:49,7:08,2:45,4:31,2:47
5.27,2.76,2.71,6.6,1.64,3.62,5.14
3.40%,6.10%,9.60%,16.50%,12.60%,15.90%,0.70%
"9,758","97,844","233,816","25,989","1,318","173,662","2,760"
33,58,83,108,133,158,183
Bing.com,Wordpress.com,163.com,Tiktok.com,Digikala.com,Google.com.tw,W3schools.com
2:56,3:22,6:06,5:49,13:49,4:10,5:39
2.63,2.56,5.37,6.91,11.01,8.53,3.93
6.10%,35.70%,4.10%,19.50%,26.30%,10.20%,67.20%
"41,693","31,150","28,654","1,331","12,047","10,454","17,712"
34,59,84,109,134,159,184
Bongacams.com,Cnn.com,Spotify.com,Force.com,Indiatimes.com,Bestbuy.com,Smallpdf.com
2:55,4:48,3:38,24:14:00,3:38,4:08,3:50
1.58,2.44,4.73,18.7,2.73,4.25,2.08
6.10%,21.70%,17.70%,2.50%,44.50%,27.70%,73.00%
"178,712","114,281","12,036","3,221","31,462","7,842",837
35,60,85,110,135,160,185
Twitch.tv,So.com,Medium.com,Xhamster.com,Grammarly.com,Cnzz.com,Mediafire.com
7:28,3:56,2:49,12:47,3:33,3:18,2:38
3.73,3.38,2.09,9.5,2.3,6.79,2.51
7.20%,0.90%,44.60%,21.50%,20.30%,0.10%,4.50%
"9,771","7,719","6,962","2,103","1,627","2,735","116,375"
36,61,86,111,136,161,186
Microsoftonline.com,Dropbox.com,Xvideos.com,Alibaba.com,Aliyun.com,Youm7.com,Hulu.com
1:09,4:56,14:17,10:54,8:35,8:42,4:05
1.87,3.97,9.92,8.99,10.5,4.37,4.93
